terrain,arm,seed,hash,occupancy,population,extinct,frozen,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
flat,contest-off,42,10809610938925410602,0.91667,47,0,0,224,16,0.4,0.45146,0.05146,0.44,0.54696,0.10696,0.48,0.57824,0.09824,0.52,0.50257,-0.01743,0.56,0.62679,0.06679,0.6,0.66972,0.06972,0.56667,0.38661,-0.18006,0.53333,0.49269,-0.04064,0.5,0.44832,-0.05168,0.46667,0.46562,-0.00105,0.43333,0.55434,0.121
flat,contest-off,43,17637251419707082204,1,29,0,0,222,16,0.4,0.65539,0.25539,0.44,0.68396,0.24396,0.48,0.50472,0.02472,0.52,0.52763,0.00763,0.56,0.73163,0.17163,0.6,0.78325,0.18325,0.56667,0.54401,-0.02266,0.53333,0.39069,-0.14264,0.5,0.28992,-0.21008,0.46667,0.40977,-0.0569,0.43333,0.41788,-0.01546
flat,contest-off,44,1027717180673803295,0.95833,48,0,0,217,16,0.4,0.41336,0.01336,0.44,0.55268,0.11268,0.48,0.53966,0.05966,0.52,0.57754,0.05754,0.56,0.65803,0.09803,0.6,0.70572,0.10572,0.56667,0.38241,-0.18426,0.53333,0.44595,-0.08738,0.5,0.42217,-0.07783,0.46667,0.4023,-0.06437,0.43333,0.34093,-0.0924
flat,contest-off,45,6165566249188845493,0.875,48,0,0,230,15,0.4,0.49005,0.09005,0.44,0.54234,0.10234,0.48,0.55583,0.07583,0.52,0.53249,0.01249,0.56,0.65958,0.09958,0.6,0.72921,0.12921,0.56667,0.3364,-0.23027,0.53333,0.44673,-0.08661,0.5,0.52261,0.02261,0.46667,0.37764,-0.08902,0.43333,0.58654,0.15321
flat,contest-off,46,136548537978555485,0.91667,48,0,0,235,15,0.4,0.41493,0.01493,0.44,0.46679,0.02679,0.48,0.53347,0.05347,0.52,0.63373,0.11373,0.56,0.68163,0.12163,0.6,0.71705,0.11705,0.56667,0.46718,-0.09949,0.53333,0.6266,0.09327,0.5,0.37713,-0.12287,0.46667,0.3485,-0.11817,0.43333,0.49766,0.06432
flat,contest-off,47,9316163382852529027,0.95833,48,0,0,224,14,0.4,0.46019,0.06019,0.44,0.48823,0.04823,0.48,0.47839,-0.00161,0.52,0.53491,0.01491,0.56,0.50966,-0.05034,0.6,0.64913,0.04913,0.56667,0.57123,0.00457,0.53333,0.51827,-0.01506,0.5,0.61471,0.11471,0.46667,0.54499,0.07833,0.43333,0.36324,-0.0701
flat,contest-off,48,17269702810126497508,0.91667,48,0,0,234,14,0.4,0.42787,0.02787,0.44,0.52082,0.08082,0.48,0.57492,0.09492,0.52,0.63285,0.11285,0.56,0.55878,-0.00122,0.6,0.73263,0.13263,0.56667,0.29063,-0.27604,0.53333,0.44616,-0.08718,0.5,0.30997,-0.19003,0.46667,0.41273,-0.05394,0.43333,0.35397,-0.07936
flat,contest-off,49,989344275094421313,0.91667,48,0,0,228,16,0.4,0.55787,0.15787,0.44,0.52652,0.08652,0.48,0.63375,0.15375,0.52,0.68849,0.16849,0.56,0.66602,0.10602,0.6,0.78261,0.18261,0.56667,0.44931,-0.11735,0.53333,0.45154,-0.08179,0.5,0.4484,-0.0516,0.46667,0.43256,-0.0341,0.43333,0.54269,0.10936
flat,contest-off,50,5465178356616926799,0.95833,47,0,0,215,13,0.4,0.4906,0.0906,0.44,0.50777,0.06777,0.48,0.52583,0.04583,0.52,0.58403,0.06403,0.56,0.59124,0.03124,0.6,0.64008,0.04008,0.56667,0.53893,-0.02774,0.53333,0.36315,-0.17018,0.5,0.4066,-0.0934,0.46667,0.3789,-0.08777,0.43333,0.463,0.02966
flat,contest-off,51,5409524142173643721,0.95833,48,0,0,231,16,0.4,0.44097,0.04097,0.44,0.53497,0.09497,0.48,0.61823,0.13823,0.52,0.43118,-0.08882,0.56,0.6529,0.0929,0.6,0.85361,0.25361,0.56667,0.73328,0.16661,0.53333,0.29185,-0.24148,0.5,0.50254,0.00254,0.46667,0.30311,-0.16356,0.43333,0.3751,-0.05823
